"V1","V2","V3","V4","V5"
1,1,1,1,1
1,1,1,1,1
0.330415406652873,0.330415406652873,0.330415406652873,0.330415406652873,0.330415406652873
0.386237245963736,0.386237245963736,0.386237245963736,0.386237245963736,0.386237245963736
0.983475298126065,0.983475298126065,0.983475298126065,0.983475298126065,0.983475298126065
0.718411852838355,0.718411852838355,0.718411852838355,0.718411852838355,0.718411852838355
0.994941365831226,0.994941365831226,0.994941365831226,0.994941365831226,0.994941365831226
0.602732240437158,0.602732240437158,0.602732240437158,0.602732240437158,0.602732240437158
0.226880125632525,0.226880125632525,0.226880125632525,0.226880125632525,0.226880125632525
0.916553493285046,0.916553493285046,0.916553493285046,0.916553493285046,0.916553493285046
0.805749805749806,0.805749805749806,0.805749805749806,0.805749805749806,0.805749805749806
0.740477908748296,0.740477908748296,0.740477908748296,0.740477908748296,0.740477908748296
1,1,1,1,1
0.817620001693146,0.817620001693146,0.817620001693146,0.817620001693146,0.817620001693146
1,1,1,1,1
0.612955364913589,0.612955364913589,0.612955364913589,0.612955364913589,0.612955364913589
0.821410425769739,0.821410425769739,0.821410425769739,0.821410425769739,0.821410425769739
1,1,1,1,1
0.707906147424727,0.707906147424727,0.707906147424727,0.707906147424727,0.707906147424727
1,1,1,1,1
0.596216281213676,0.596216281213676,0.596216281213676,0.596216281213676,0.596216281213676
1,1,1,1,1
