"V1","V2","V3","V4","V5"
0.265545520606249,0.265545520606249,0.265545520606249,0.265545520606249,0.265545520606249
0.596216281213676,0.596216281213676,0.596216281213676,0.596216281213676,0.596216281213676
0.386237245963736,0.386237245963736,0.386237245963736,0.386237245963736,0.386237245963736
0.983475298126065,0.983475298126065,0.983475298126065,0.983475298126065,0.983475298126065
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0.870432254734154,0.870432254734154,0.870432254734154,0.870432254734154,0.870432254734154
1,1,1,1,1
0.804895058448459,0.804895058448459,0.804895058448459,0.804895058448459,0.804895058448459
0.740477908748296,0.740477908748296,0.740477908748296,0.740477908748296,0.740477908748296
1,1,1,1,1
0.817620001693146,0.817620001693146,0.817620001693146,0.817620001693146,0.817620001693146
1,1,1,1,1
0.812962273186825,0.812962273186825,0.812962273186825,0.812962273186825,0.812962273186825
0.192024359100285,0.192024359100285,0.192024359100285,0.192024359100285,0.192024359100285
0.427486086070393,0.427486086070393,0.427486086070393,0.427486086070393,0.427486086070393
0.61295536491359,0.61295536491359,0.61295536491359,0.61295536491359,0.61295536491359
0.994880148941122,0.994880148941122,0.994880148941122,0.994880148941122,0.994880148941122
1,1,1,1,1
0.71770694259012,0.71770694259012,0.71770694259012,0.71770694259012,0.71770694259012
0.915919112057169,0.915919112057169,0.915919112057169,0.915919112057169,0.915919112057169
0.707562479714378,0.707562479714378,0.707562479714378,0.707562479714378,0.707562479714378
1,1,1,1,1
0.330415406652873,0.330415406652873,0.330415406652873,0.330415406652873,0.330415406652873
0.602732240437158,0.602732240437158,0.602732240437158,0.602732240437158,0.602732240437158
1,1,1,1,1
