"Dataset","Type","Student","Intercept","Slope"
"ds115","Student","Stu_030458dc7f5b93604de713b8f0595006","0.572286645789433","-0.0318308327009311"
"ds115","Student","Stu_032e1ecce3f805b5e3ab3884154068e3","-0.0959683398209764","0.0112710011847034"
"ds115","Student","Stu_049e05a8f6b3b5eb958721e6c5cfe75a","0.461174514374525","-0.115116069529758"
"ds115","Student","Stu_080fe8f22a7b88dbda214761b6760364","0.152530555908463","0.0409806631118848"
"ds115","Student","Stu_0b174d7bee3983723f70e122ba287cc7","1.28485742099291","0.0721958351933277"
"ds115","Student","Stu_0d2c371498ec2851baba189c6d56d702","-0.0570207044924743","0.0120681877475557"
"ds115","Student","Stu_177099c0e4631bb00936c32b7966fb34","0.576207724709858","0.0711610811576714"
"ds115","Student","Stu_1c77165984aa638da0f48cdebe36e7fa","-0.436353493466211","0.0842855936244881"
"ds115","Student","Stu_1e4597cb0bd5a9ab6a9fe4024c21d609","0.430119324528793","-0.0535210036436773"
"ds115","Student","Stu_249fb3894fd670e9451cfe5294a7014b","-0.0768332155371217","0.119155927563356"
"ds115","Student","Stu_259ec68894d7eadbdfa6a0477caf418f","0.0522686477699298","0.125993776281207"
"ds115","Student","Stu_26edaeddeb070a2f2de285ae5125f497","0.53780543992019","0.0156502898548882"
"ds115","Student","Stu_29972ae0c7593bcab4865157466ea6e0","-0.175381678869396","0.00897534497319027"
"ds115","Student","Stu_29ba7303e7c02103a64e9d1b71149c53","0.0949965399360342","-0.152276638224668"
"ds115","Student","Stu_2e90c8217895d12b590f9217606d5032","-0.332181373032112","-0.00931636958509892"
"ds115","Student","Stu_378391708463addf9917e9794d0c8427","0.893315743893947","0.0248027250468829"
"ds115","Student","Stu_39506dd92d53f0d12e58fac8faca3fdc","0.786270873268308","0.0264488465117906"
"ds115","Student","Stu_3c5468803b7ec059da6f8ae3196fd856","-0.375425760011241","0.0252508032461405"
"ds115","Student","Stu_3e98398fbd31db9b3a58f520b96a0ae6","-0.989696114401387","0.119044681947577"
"ds115","Student","Stu_4233bad6386d416c3d3b3eea9b543b1d","0.47863690750189","0.0744431593201126"
"ds115","Student","Stu_4265fc2c834d4c78df1ece2b71150807","0.467231841283536","-0.0233369895088903"
"ds115","Student","Stu_4374325d69dfd56f911adce7f1265953","-0.233905777527393","-0.0044269927299628"
"ds115","Student","Stu_43f1042bc225c5aa843bc53844160aad","-0.0795294581949676","0.0390680102150017"
"ds115","Student","Stu_4b24cb04d7d82bfb389c793aaba89b3f","1.26486215495465","-0.00871484297271689"
"ds115","Student","Stu_4eb9aff94ef276f875454105e9bafa13","0.547493781938725","-0.251180577492532"
"ds115","Student","Stu_54273008103a46a489a01418c46ccd21","0.519513783176147","-0.0924425874501084"
"ds115","Student","Stu_59322a0e741b5d2e628c7a9f3b41973e","-2.03483649764766","0.119251000596256"
"ds115","Student","Stu_597fca90504feb34af2a9651fa2946ee","0.164980336522504","-0.121691033094696"
"ds115","Student","Stu_5dbffa4533795491cc1a9260796a86a9","0.367369570580215","-0.0218795573111728"
"ds115","Student","Stu_67edfafc3aea3d5d6fb19c0bda152870","0.194295380336658","-0.0785771538610579"
"ds115","Student","Stu_699f667ba6f7e84f4b818162cd16b2d9","0.369284440300888","-0.1867833147591"
"ds115","Student","Stu_706104c4d6ef81c0ceb39b4430e80700","-0.697683607833065","0.00205901463154137"
"ds115","Student","Stu_7151bcc000e6b3bcfa2c69ad0d325b00","0.0503516277109268","-0.0560094636601881"
"ds115","Student","Stu_75f23c3a22d893966622fd6900721128","-0.669458902417778","-0.0166226651041061"
"ds115","Student","Stu_78da5fc6b6229bb02e87f162c9be96c8","0.43512984154582","-0.00474960088567496"
"ds115","Student","Stu_7ce45ff5abc46358e5b33c766cfcc4fb","-0.415607302131595","0.0786196915807157"
"ds115","Student","Stu_81b484dd437e451a613410ee52b3e31b","-0.199435078784417","0.0492563488402772"
"ds115","Student","Stu_88e1c38ef5b3875ea4d77f9ca479814a","0.333969900970846","-0.0485181457020524"
"ds115","Student","Stu_8d6f5b31fd7fa907289a11a209a0cdab","-0.08221213880836","0.0453491359619993"
"ds115","Student","Stu_8ecf362adbf1f609e7d541868c54b2b3","-0.396957364621476","-0.210526149521163"
"ds115","Student","Stu_9049feae58a3a1712a09792a8b08f2a8","-0.247065839095825","-0.153385745517505"
"ds115","Student","Stu_931aceafbe22be1fd89261581e518a5c","-0.333910575106707","-0.0305661146676604"
"ds115","Student","Stu_97b8da33da4498ffce16af4f96e8b740","-0.424052096223821","-0.0945842947269926"
"ds115","Student","Stu_9aeaac5a36bde1a6e61f3a8bb2b5732b","0.613194474146962","0.074334158738214"
"ds115","Student","Stu_a41a86736799d3c0d20e909823e97368","0.187643730140883","0.017256911866279"
"ds115","Student","Stu_a66e44dfae1bc21dd2448107a07ca5a4","0.542978731101021","0.00891515378383716"
"ds115","Student","Stu_acec61751831f6011986ac5b1b54e5ea","-0.695584842047849","-0.0742989652925658"
"ds115","Student","Stu_b5d0b9da3b3ad38949184e7e8adc834b","0.268070383023007","0.0527765850881527"
"ds115","Student","Stu_bb776c96dc9d7d03a9fad446266d5008","-1.28886712835607","-0.0229619872906468"
"ds115","Student","Stu_c0abfa5156d4427c83fe58b6b3f0c8d0","-1.02366991366609","-0.00386659607489864"
"ds115","Student","Stu_c2463c7ff0aab942019cfff856a9219f","-1.34603171447147","-0.0152769962804975"
"ds115","Student","Stu_c2728666780878f98e62871ab25ead6b","-0.32755555104975","0.0390391731846914"
"ds115","Student","Stu_c3042ad48aff0c36d0846df05cd69a17","0.794593393684595","-0.0863498076509591"
"ds115","Student","Stu_c66becf9d206dc020da2d82621b9bfac","0.739840312450471","0.00344678148921563"
"ds115","Student","Stu_cad8d62c8d50bcf6df69bff95bb1fb75","0.0888458454982881","-0.059550869737291"
"ds115","Student","Stu_caed9cfd3442be9b55da24560241f60e","-0.2840469454666","-0.0456248868507174"
"ds115","Student","Stu_d5379c7f071edf4274af37743a9bd680","-0.78682946849411","0.00145698632866052"
"ds115","Student","Stu_d80ee48648a401af6d7a92e6022eb2f3","0.264444915168632","-0.0154804238297569"
"ds115","Student","Stu_da9a2d474ed0bff6db8d1e55967162fd","-1.03770001846354","0.0633922386411889"
"ds115","Student","Stu_dcd1c6144c48a6a7f2b173632b4b6c11","0.851242235907997","-0.022303548828201"
"ds115","Student","Stu_ddb8e48700c3f631ff31546d43cf6246","0.266735552603036","-0.0236547160445738"
"ds115","Student","Stu_de91266129f97706d9aebf7aa36979e4","0.103961507034509","-0.00147856805261649"
"ds115","Student","Stu_e26c0b76a72cba412f8b38612d468f43","-0.180426114225575","-0.0643429933629038"
"ds115","Student","Stu_e6cbddd25b95cedafdf8ebab4e445ef4","-0.272147399942703","0.11939143269463"
"ds115","Student","Stu_e865a643e86e233e014937885e56bb13","-0.441453725274899","0.168218162130434"
"ds115","Student","Stu_ee1700eb28a2c0c40994aa1713f0bd73","-0.0452614497912894","0.0734536780671001"
"ds115","Student","Stu_ee275e658a8050951de8aafbdbd54409","0.310376680157866","-0.109660816580828"
"ds115","Student","Stu_ee41f93767cc7b437a4a1ff0ad19ea13","-0.164753347214946","0.010775111162545"
"ds115","Student","Stu_f334431b68949f1f591cf7be23da11c0","0.461372817384485","-0.0864944121246861"
"ds115","Student","Stu_f3e037871f7dfc7894aa6d4d7e7dfb46","0.815901968016282","0.0922033666935416"
"ds115","Student","Stu_f8938ecbf4cc9b78eae7e12103e61e6f","-0.761460184588107","0.0208883147739061"
"ds115","Student","Stu_fd95cbc275bbf5c0a5e2b58d88cfd136","-0.394263643753761","0.075481315828531"
