"V1","V2","V3","V4","V5"
0.557667696032415,0.557543200211408,0.558801785729289,0.558207613762247,0.559324347636945
0.501419088477651,0.500991192493962,0.501104326408628,0.500857034824517,0.501904651699081
0.533386183548878,0.534049794611954,0.53484576372863,0.534952849915063,0.533924943530238
0.521344255723979,0.520463584041305,0.521242194109452,0.520856702891767,0.519732394418734
0.508924630049476,0.508079837161596,0.508736946174503,0.509219080878211,0.508629710788205
0.574534124007559,0.571638669117553,0.573786929114273,0.571045352861133,0.571648354905366
0.501493862340614,0.50091130820607,0.502245437729509,0.500483527640971,0.50149689338169
0.455603669794274,0.455924064927931,0.455381027964889,0.455377079459137,0.455926669395713
0.529979519859985,0.52837540294002,0.529311994046945,0.528501764233302,0.530260025856846
0.503730437250185,0.503185054165151,0.503646929205986,0.503685930548594,0.504059498424797
0.254258306774769,0.251731465677055,0.245577423361812,0.252144993638589,0.252417174115955
0.447553046292145,0.447308654386357,0.446316483717557,0.448048077489576,0.444808481732944
0.30397143111206,0.305351442879159,0.304601990341684,0.306547513923992,0.304692783024804
0.469309690394431,0.47413037700701,0.474453911707024,0.473579546069233,0.47150778051214
0.508949511189002,0.509285828540435,0.507128150962231,0.508155632691895,0.5095861617239
0.516587809216917,0.513281430659347,0.518759296073233,0.510839021214648,0.51166664535028
0.672969585723939,0.672741820898884,0.67576022088039,0.674868699114131,0.674872924876051
0.438967668040591,0.431758529700303,0.431564168435465,0.42737430651947,0.434100599012535
0.574418481111145,0.568885068943137,0.573065882451906,0.573071696785167,0.573071860459922
0.356877018288115,0.35778172784761,0.350983955622058,0.362245026625866,0.366912025301351
0.533060389603632,0.533018149822208,0.535112325632905,0.538489960039291,0.533261228784043
0.500831846690738,0.500194029531845,0.499757753992656,0.502388839463339,0.501731132864842
0.446183326587461,0.450827601183634,0.446301884258011,0.455028303178583,0.446601668072306
0.408803786955436,0.406163776152925,0.407796586527239,0.410725759214454,0.408916655515897
0.432518510109487,0.43269145032175,0.432256603752067,0.4325657129127,0.432320332741615
0.571234911730441,0.571421827833055,0.571540977487796,0.571101269180309,0.569988026812814
0.517344058686376,0.518042633562791,0.517386056834302,0.516842690196116,0.518047255037645
0.556520162160406,0.561366937662395,0.5697788317302,0.567189737448809,0.571159100155923
