"Dataset","Type","Student","Intercept","Slope_time","Slope_opp"
"ds563","Student","Stu_036abc10b507c9274650a5e63779682d","-0.292183351977712","0.368169337472306","1.28745754672822e-06"
"ds563","Student","Stu_03bfee4b23a6d81b74db46e3b6448e5a","-0.253029911820792","0.393534036522586","1.43006274408016e-06"
"ds563","Student","Stu_1aeef560a9813180cf217327145bad57","-0.456055082411922","0.405397209975957","4.18183564500785e-07"
"ds563","Student","Stu_251e159775a8df6bc40381b87c67c184","1.4277502782281","-0.489085426924894","-6.23343786855551e-07"
"ds563","Student","Stu_2536a02c154761ddaa40364f91b1c3e7","1.04289002804333","0.342902583048695","7.01266018835751e-07"
"ds563","Student","Stu_3c0aadb4e5cc9a0af4e63aa072b33e0e","-0.0515072146236964","0.475765493166051","5.99522298475915e-07"
"ds563","Student","Stu_3c99e98d9d1c0bcd6cfc66f9a2473176","-0.205586289034454","1.12579748545132","1.58594162338652e-06"
"ds563","Student","Stu_3cbbb1683f16a2ab0867e0d79739bf60","0.0571743772213202","-0.508378132237384","-1.51084669490453e-07"
"ds563","Student","Stu_3d1ecddac5e2f0c1b0e988d593c03fef","-0.0838487918257999","0.296697033700386","1.40140165401689e-07"
"ds563","Student","Stu_3ef819dcbc86d407a6379a0fec6175a3","0.44277556478075","-0.140313313000838","4.99528318938391e-07"
"ds563","Student","Stu_42aa56377ca8063bc1d32475b35672a1","-0.218678569491262","-0.024400698450496","1.00989659033013e-06"
"ds563","Student","Stu_472d09b22114679bb10c5fb3a51976be","0.410876612381965","0.167957457826255","5.58029814054666e-07"
"ds563","Student","Stu_48fa6b8f3227b48bbd944c12d8c478db","0.604911774602768","0.922677286475313","2.20755827767237e-06"
"ds563","Student","Stu_493865eb3c930d806853f116079ab76c","0.0598857983175557","-0.00843847930396024","3.18893050231585e-07"
"ds563","Student","Stu_4ba1212ab1bb85f2bef7edb2d25179d5","-1.29439241332594","0.0991104908621166","4.06233352819274e-07"
"ds563","Student","Stu_4d1e53fad52234dfe6655262815e632b","-0.234246045286693","0.045196504528738","-8.92576122853778e-07"
"ds563","Student","Stu_527174bbf2fc8ec5ed681fb9e5a1ee64","-0.174341545626302","0.133036999297966","-5.83465214152596e-07"
"ds563","Student","Stu_546f690a9cd2d4ae442ab6d51c713c3f","-0.334222543379099","-0.303423898618549","7.86218746714604e-07"
"ds563","Student","Stu_5628238739f7ed05358a09d5075bbba0","0.257359247089147","0.608698214919918","1.63555267433631e-06"
"ds563","Student","Stu_56e908e48e2d124f3449cfc03037be13","0.171746991782865","-0.0953439232362251","5.14032427396402e-07"
"ds563","Student","Stu_5737e1306a1c057d234c699257d32ee9","0.629792224061466","-0.767825915047995","-1.00476441313642e-06"
"ds563","Student","Stu_59076a0eba30c86c2897a88647f428e3","0.284743406066349","0.105191165439366","2.53845562057196e-08"
"ds563","Student","Stu_592cff0059041671089a4d6eb49a3e33","-0.318439661483528","0.430411334442156","1.03452301461831e-06"
"ds563","Student","Stu_64d0f82f5d082b35af9235397939876d","1.17923191950134","0.568395903980755","-1.94874120411404e-06"
"ds563","Student","Stu_6acf3df5e6741167bc7288aa2b87f922","-0.0661820643333598","-0.195812057891437","7.75787069391021e-07"
"ds563","Student","Stu_6c52602d88dce7ec539f5b3b31e3db4f","-0.197958287849098","0.0589393567847748","-1.25256428169334e-06"
"ds563","Student","Stu_6d870eab020bc7c7680644fc52fc474c","-0.238302591715305","0.130481166529284","8.23466920231108e-07"
"ds563","Student","Stu_741907c1c3a9064d271e661906a2b616","0.710852534003095","-0.191124972237672","-5.446251810903e-08"
"ds563","Student","Stu_7557dc182e3b30bb4a3b206afd964007","-0.664243357605964","0.125793837674953","-8.34193908194742e-07"
"ds563","Student","Stu_774b319c7b3e37cc378f4bd6e2b14c76","0.0258627643148123","0.241080259511331","-3.42765633072538e-07"
"ds563","Student","Stu_7a4387ea9bc12dc9a94317626340091a","0.136975068212527","0.106959512680934","6.79663101819152e-07"
"ds563","Student","Stu_7b7b95f8ff923fc3eb45a266347bad0e","0.605947845280565","-0.272844135503224","-6.1015542644182e-07"
